Date,Open,High,Low,Close,Volume
2022-08-16 04:00:00+00:00,427.73,431.73,426.88,429.7,60027042.0
2022-08-17 04:00:00+00:00,425.91,429.5,424.54,426.65,64678140.0
2022-08-18 04:00:00+00:00,426.86,428.61,425.5,427.89,49133661.0
2022-08-19 04:00:00+00:00,424.98,425.26,421.22,422.14,69269902.0
2022-08-22 04:00:00+00:00,417.05,417.23,412.4,413.35,79484165.0
2022-08-23 04:00:00+00:00,412.9,415.42,411.77,412.35,49771778.0
2022-08-24 04:00:00+00:00,412.11,415.1101,411.39,413.67,50531686.0
2022-08-25 04:00:00+00:00,415.24,419.56,414.09,419.51,51062473.0
2022-08-26 04:00:00+00:00,419.39,419.96,405.25,405.31,105714602.0
2022-08-29 04:00:00+00:00,402.2,405.84,401.1999,402.63,66499372.0
2022-08-30 04:00:00+00:00,403.85,404.1,396.0,398.21,87190352.0
2022-08-31 04:00:00+00:00,399.93,401.24,395.04,395.18,77635142.0
2022-09-01 04:00:00+00:00,392.89,396.78,390.04,396.42,80204169.0
2022-09-02 04:00:00+00:00,400.28,401.555,390.33,392.24,101452968.0
2022-09-06 04:00:00+00:00,393.13,394.12,388.42,390.76,77511258.0
2022-09-07 04:00:00+00:00,390.43,398.59,390.2,397.78,73982489.0
2022-09-08 04:00:00+00:00,395.39,400.86,394.12,400.38,82038578.0
2022-09-09 04:00:00+00:00,402.74,407.51,402.46,406.6,79609462.0
2022-09-12 04:00:00+00:00,408.78,411.73,408.46,410.97,70935353.0
2022-09-13 04:00:00+00:00,401.83,403.1,391.92,393.1,127102562.0
2022-09-14 04:00:00+00:00,394.47,396.2,391.12,394.6,85900310.0
2022-09-15 04:00:00+00:00,392.96,395.96,388.78,390.12,89118469.0
2022-09-16 04:00:00+00:00,384.14,386.25,382.11,385.56,105150204.0
2022-09-19 04:00:00+00:00,382.26,388.55,382.1784,388.55,74700086.0
2022-09-20 04:00:00+00:00,385.06,386.12,381.195,384.09,78403121.0
